,label,title,description,generated_description
54552,2,Phelps Makes Winning Return at World Championships," INDIANAPOLIS (Reuters) - Michael Phelps made a winning  return to the pool at the world short course championships  Thursday, capturing the 200 meters freestyle title and the  first of a possible six gold medals.","ATHENS (Reuters) - Michael Phelps made his return to the World Championships with a 6-3, 6-4 victory over the Czech Republic on Saturday."
26813,4,IBM Tools Give Developers an Assist,"IBM announced Monday a set of offerings from its Virtual Innovation Center for Hardware, including  quot;how-to quot; guides and a solution sizing toolkit, all aimed at helping the company #39;s business partners build and deploy applications on IBM technology.",IBM has released a new tool that allows developers to create and manage their own applications. The tool is designed to help developers build and maintain applications that are based on the company #39;s proprietary software.
111839,2,Rain eases to showers ahead of one-day decider,"Rain is continuing to fall around Brisbane, threatening the deciding match in the Chappell-Hadlee one day series between Australia and New Zealand.","ATHENS (Reuters) - Rain eased to a halt on Sunday as the United States held on to a one-day decider in the U.S. Open, easing fears of a sluggish start to the season."
110759,3,Automakers draw battleline with California,"Toyota, General Motors and seven other automakers filed suit on Tuesday to block California #39;s new greenhouse gas regulation, which was approved by the state in its final form in September.","SAN FRANCISCO (Reuters) - California's automakers have drawn a battle line with the U.S. government over whether to allow the federal government to regulate the state's auto industry, a source familiar with the matter said on Thursday."
63693,2,Arsenal Beats Aston Villa 3-1 in Premiership to Extend Lead,Robert Pires scored twice as Arsenal beat Aston Villa 3-1 in English soccer #39;s Premiership to extend its advantage in the standings to five points.,Arsenal beat Aston Villa 3-1 in the Premiership on Saturday to extend their lead at the top of the Premier League table. The Gunners fought back from a 2-0 deficit to extend their lead at the top of the table.
77113,1,Six Pitcairn Island men sentenced up to six years for sex attacks,"SYDNEY, Australia British authorities say six men on Pitcairn Island have been sentenced up to six years in prison for sex attacks dating back 40 years.",Six Pitcairn Island men have been sentenced to up to six years in prison for sex attacks on women and children.
67380,2,Bucs' Jurevicius Returns to Practice (AP),AP - Joe Jurevicius felt like a rookie again. The Tampa Bay receiver practiced for the first time this season Wednesday and expects to play Sunday against the Chicago Bears after being sidelined most of the past year by knee and back injuries.,AP - Tampa Bay Buccaneers running back Michael Jurevicius returned to practice Monday after missing the last two games of the season with a knee injury.
66292,3,"AT amp;T Wireless #39;s Numbers Down, Prepares For Acquisition By Cingular","com. AT amp;T Wireless announced a drop in sales and profits, as it moved closer to its planned acquisition by Cingular Wireless. The firm earned \$117 million on revenues of \$4.","NEW YORK (Reuters) - AT amp;T Wireless Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AT.N target=/stocks/quickinfo/fullquote""&gt;AT.N&lt;/A&gt;, the world #39;s largest wireless company, said on Tuesday it was ready to acquire Cingular Wireless Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CING.O target=/stocks/quickinfo/fullquote""&gt;CING.O&lt;/A&gt;, the company said."
112563,4,Apple #39;s iTunes now accepting PayPal,"Customers at Apple Computer #39;s iTunes store will now be able to pay for their songs, albums and gift certificates using PayPal, a virtual wallet technology owned by eBay.","Apple #39;s iTunes music store is now accepting PayPal payments, the company said on Tuesday. The company said it will accept PayPal payments from customers who have already paid for their purchases."
99948,2,Pacers Pull Out Win,Jamaal Tinsley has a career-high 29 points and James Jones had a career-best 22 points and 10 rebounds to lead the suspension-weakened Pacers to a 106-96 win over the Celtics.,"The Indiana Pacers pulled out a win over the Los Angeles Lakers in the first half, but the Lakers were able to pull off a three-point victory over the Los Angeles Lakers."
55136,1,Son Seeks to Persuade Cambodian King Not to Quit," PHNOM PENH (Reuters) - Cambodian King Norodom Sihanouk  appears determined to retire, his son said on Saturday before  heading to Beijing in a bid to persuade the 81-year-old monarch  to change his mind about abdicating.","Cambodian President Hu Jintao is trying to persuade the king of Cambodia not to give up his power, but he is still trying to convince him that he will not give up his power."
70230,1,16 Killed in Algerian Rebel Raid,"MEDEA, Algeria, 24 October 2004 - Suspected Algerian militants killed 16 people in the first attack on civilians since the start of the holy month of Ramadan , officials said yesterday.","A rebel group in Algeria has killed at least 16 people and wounded more than 100 in a raid on a school in the capital, killing at least 16 people."
106033,1,Chinese media demands investment in mine safety,"A woman breaks down after she was told the fate of her husband, one of the miners trapped in the Chenjiashan coal mine in Tongchuan city, north China #39;s Shaanxi province November 29.","China #39;s media are demanding investment in the safety of its mines, a report says. The report, which was published on Wednesday, is aimed at reducing the risk of a collapse of the country #39;s mining industry."
77896,1,In Arafat #39;s absence,"THROUGH THE different stages of his life as chief of Fatah, chairman of the Palestine Liberation Organization, and president of the Palestinian Authority, Yasser Arafat #39;s one consistent principle has been to keep the reins of power wrapped tightly around ","Palestinian leader Yasser Arafat has been absent from the Gaza Strip for more than a month, a source close to his family said."
90822,3,Crunch day for Gold Fields,"Gold Fields may find itself without a board, a chairman, or the approval of its shareholders for its financial statements after a crucial shareholders meeting tomorrow.","Gold Fields Inc., the world #39;s largest gold producer, said Monday that it expects a record-breaking third-quarter profit of $1 billion in revenue from the sale of its gold mines."
50472,3,Crude Oil Prices Surged Above \$50 a Barrel,Crude oil prices briefly hit an all-time high of \$50.69 on Tuesday as worries persisted over supply and unrest in key producers.,Crude oil futures prices slid above $50 a barrel on Friday as investors weighed in on the impact of a recent surge in U.S. crude inventories on global demand.
50803,3,Lazard Meeting Ends Without IPO Decision (Reuters),"Reuters - Lazard's board on Tuesday failed to\decide on a share sale that would end over 150 years of private\ownership at the independent investment bank but most partners\seemed to back the plan, sources close to the matter said.","Reuters - Lazard Inc.'s annual meeting ended onThursday, with the company's board of directors unable to decide whether it should make a decision on its initial public offering, the company said."
79645,2,Makybe Diva Wins Melbourne Cup Horse Race,"MELBOURNE (Dow Jones)--Makybe Diva is the winner of the 2004 Melbourne Cup horse race, gaining first place in the 3,200-meter race held at Flemington course.","ATHENS (Reuters) - Makybe Diva won the Melbourne Cup horse race on Sunday, beating a runner-up in the first round of the Australian Open."
4970,2,Five more suspended by weightlifting body,"ATHENS -- Weightlifting #39;s aggressive pursuit of drug cheaters will continue even if it jeopardizes its future in the Olympics, its top official said yesterday after six more positive doping cases in what is again becoming the Games #39; dirtiest sport. Five ...",ATHENS (Reuters) - Five people have been suspended from the Olympic weightlifting body after they failed to reach the final of a two-day trial.
10557,2,Ukrainians' Medal Stripped,The Ukrainian four-woman rowing team is stripped of its bronze medal Thursday after one member tests positive for a banned drug.,ATHENS (Reuters) - The U.S. Olympic medalists were stripped of their medals on Sunday after the country's Olympic committee ruled that they had not met the criteria for winning the gold medal.
46755,3,Merck stock takes big hit after recall,"As far as stock hits go, this ranks up there as one of the worst. Merck  amp; Co. lost more than \$26.6 billion in value yesterday - yes, that #39;s billion with ab - after the pharmaceutical giant ","NEW YORK (Reuters) - Shares of Merck amp; Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MRK.N target=/stocks/quickinfo/fullquote""&gt;MRK.N&lt;/A&gt;, the world's largest maker of painkillers, fell sharply on Friday after the recall of its drug."
6226,3,"Qantas Doesn #39;t Need an Airline Replacement for BA, Dixon Says","Qantas Airways Ltd. should not seek another airline to replace British Airways Plc if the UK carrier sells its stake in the business, Qantas Chief Executive Geoff Dixon said.","Qantas Airways isn #39;t in need of a replacement airline for BA Air Lines, Chief Executive Officer John Dixon said on Tuesday."
41526,4,"Microsoft to Offer Cheaper, Limited Windows in Russia (PC World)",PC World - It's part of the company's effort to beat back Linux and piracy efforts in developing technology markets.,"PC World - Microsoft Corp. will offer a limited version of its Windows operating system in Russia, the company said on Tuesday."
70947,1,Six on Pitcairn Island convicted of abuse,"SYDNEY, Australia - Six men were convicted of a string of sex attacks on Pitcairn Island, the isolated Pacific territory that is home to descendants of the 18th century Bounty mutineers, after trials that exposed a culture of sex abuse in the tiny ","Six people on the island of Pitcairn Island have been convicted of abusing a child, a court heard yesterday."
62334,3,Crude oil touches \$55 US a barrel,NEW YORKCrude oil hit \$55 (US) a barrel yesterday as traders worried over thin heating oil inventories ahead of winter and Federal Reserve Board chairman Alan Greenspan predicted the soaring costs would not crimp economic growth like in the 1970s.,"Crude oil futures touched $55 US a barrel on Friday, a day after the US government announced it would cut its supply of crude to $50 a barrel."
38851,1,Sudan Security Foils New Sabotage Plot -- Agency,Sudanese authorities said Friday they foiled another plot by an opposition Islamist party to kidnap and kill senior government officials and blow up sites in the capital ,"Sudan #39;s security forces have launched a new sabotage plot against rebels in the country #39;s capital, the National Security Agency said on Wednesday."
104804,2,Florida A M Coach Joe Won't Get Extension (AP),AP - Florida A amp;M won't extend the contract of football coach Billy Joe beyond the 2005-06 season.,AP - Florida A.M. coach Joe Walsh said Monday he won't get an extension from the University of Michigan.
119397,3,Survey: FDA scientists question safety,"Two-thirds of Food and Drug Administration scientists surveyed two years ago lacked confidence that the FDA adequately monitors the safety of prescription drugs, a report released Thursday shows.","Scientists at the U.S. Food and Drug Administration are questioning the safety of a drug used to treat heart attacks and strokes, according to a new survey."
16720,4,Plastic magnet breaks the mold,Researchers in England have made the first magnet made of plastic that works at room temperatures.,The plastic magnets that make up a magnetic field are the latest in a long line of inventions that could be used to create a new type of magnetic field.
56557,1,Eleven killed in car bombs as Rumsfeld visits troops in Iraq,"Two car bombs shook the capital in quick succession yesterday, killing at least 11 people, including a US soldier, and wounding 16, US and Iraqi officials said.","WASHINGTON (Reuters) - At least 11 people were killed and more than 100 wounded in car bomb blasts in Iraq on Wednesday, as US Secretary of State Colin Powell visited troops in the country."
80209,2,Beni #39;s Raf luck,RAFAEL BENITEZ returns to Spain tonight knowing there is far more at stake than Liverpools Champions League dreams. Benitez is back in his homeland for the first time since joining the Anfield ,"ATHENS (Reuters) - Rafik Beni #39;s goal in the first half of the UEFA Cup qualifier against France was a huge boost for the Belgian midfielder, who has struggled for the last two years."
726,1,Suspicious Powder Found at U.S. Embassy in Malaysia," KUALA LUMPUR (Reuters) - Suspicious white powder has been  found in an envelope that arrived at the U.S. embassy in  Malaysia and three staff members quarantined, an embassy  official and police said on Monday.  ""A letter was delivered that had a suspicious powder in it,""  said an embassy spokesman in Kuala Lumpur. ""The powder is being  sent for testing.""","The U.S. Embassy in Malaysia has found a suspicious amount of powder at its entrance to the country #39;s capital, Malaysia."
114492,4,Firefox gains hints browser wars may heat up,"Washington - The Internet browser wars, dormant for several years, shows signs of heating up again as a result of gains from a new program called Firefox, a research report showed on Monday.","com September 18, 2004, 10:51 AM PT. The Internet Explorer (IE) has gained a few clues about how to win over rivals in the browser wars, with some hints that the battle may be over."
35626,1,Interest rates may rise in November,"The Bank of England #39;s Monetary Policy Committee voted unanimously to keep interest rates steady at 4.75 percent earlier this month, but analysts say another ","WASHINGTON (Reuters) - U.S. interest rates could rise in November, the Federal Reserve said on Tuesday, citing a report by the Federal Reserve indicating that interest rates will rise in November."
64306,2,Beltran and Pujols Playing  #39;Can You Top This? #39;,Houston Astros center fielder Carlos Beltran and St. Louis Cardinals first baseman Albert Pujols meet near the batting cage before every game of the National League Championship ,"ATHENS (Reuters) - The New York Yankees are playing their first game of the season, and they are playing their first game of the season. The two players are playing in a doubleheader against the Los Angeles Dodgers on Saturday."
5003,3,Dim Reality at Sharper Image,Shares of Sharper Image (SHRP:Nasdaq - news - research) were under pressure Friday after the company unexpectedly predicted it will lose money in its third quarter and was downgraded by JP Morgan. ,&lt;strong&gt;&lt;strong&gt;&lt;strong&gt;&lt;/strong&gt; &lt;/strong&gt; &lt;/strong&gt; &lt;/strong&gt; &lt;/strong&gt; &lt;/strong&gt;&lt;/strong&gt;&lt;/strong&gt; &lt;strong&gt;&lt;strong&gt; &lt;/strong&gt;
108771,2,Spain sweeps opening singles from US in Davis Cup final,"With drums pounding and a brass band playing, Andy Roddick and his US teammates were reduced to silence yesterday in the Davis Cup final.","ATHENS (Reuters) - Spain swept the opening singles of the Davis Cup on Sunday with a 6-3, 6-4 victory over the United States in the final of the Davis Cup."
13553,4,Microsoft timing is late for schools,Microsoft #39;s decision to release a major upgrade for its flagship operating system in the same month that hundreds of thousands of students are reporting to college campuses across the nation is causing a major headache for some universities.,Microsoft Corp. has announced that it will release a new version of its Windows operating system for schools in the United States. The software maker said it will release a new version of its Windows operating system in the United States in the coming weeks.
90719,2,Five Drivers Will Race... For The Nextel Cup At Homestead,"When Tony Stewart struggled to a 20th place finish in the Mountain Dew Southern 500 at Darlington on Sunday, it eliminated any chance that he would have the opportunity to race for the Nextel ","The nextel Cup will be held at Homestead, Texas, on Saturday, Oct. 9, 2004. The five drivers will compete in the first round of the PGA Tour #39;s PGA Tour #39;s PGA Tour Championship."
38880,2,Montgomerie misses cut at The Heritage,"Colin Montgomerie shot a 5-over-par 77 and missed the cut at The Heritage on Friday, five days after making the winning putt for Europe at the Ryder Cup.",ATHENS (Reuters) - France's Jean-Pierre Montgomerie missed the cut at the The Heritage on Sunday after missing the first round of the European Tour's PGA Tour.
43419,1,Kidnapped CNN producer freed,Palestinian militants yesterday released an Israeli Arab who works as a producer for CNN a day after abducting him at gunpoint in the ,"SAN FRANCISCO (Reuters) - A CNN producer kidnapped in Iraq has been freed, a source familiar with the case said on Thursday."
71201,2,Smith tops 100 yards for record 78th time,"Their fates matched those of their teams in the Arizona Cardinals #39; 25-17 victory over the Seattle Seahawks yesterday. Smith sealed the win with a 23-yard touchdown run, a play that put him over the 100-yard ","ATHENS (Reuters) - New York Jets running back Michael Smith threw for a career-high 78 yards and a touchdown on the first play of the season, leading the team to a 100-yard victory over the New York Jets on Sunday."
19927,2,Soccer: Another defeat could see England coach Pole-axed,VIENNA - England head into Thursday #39;s World Cup qualifier against Poland knowing a repeat of their mistakes in a 2-2 draw with Austria could leave them looking for a new manager.,"BRUSSELS (Reuters) - England coach Paul Pole could be axed from his job as head coach of the country's top soccer club, the BBC reported on Wednesday."
41390,1,CNN worker kidnapped in Gaza City,Armed men have seized an Israeli Arab producer working for the CNN television network from a car in Gaza City after asking for him by name.,"A CNN worker has been kidnapped in Gaza City, a source familiar with the situation said."
70046,1,OPPOSITION RALLY IN UKRAINE,"Tens of thousands of supporters of opposition presidential candidate Viktor Yushchencko have rallied in the streets of the Ukrainian capital, Kiev, to demand next week #39;s elections are free and fair.","BRUSSELS (Reuters) - The United States is considering a possible withdrawal from the European Union if it fails to secure a deal with Britain, the European Commission said on Tuesday."
74945,1,Poll: Kerry Gaining Among Swing Voters (AP),"AP - Democratic Sen. John Kerry gained some ground on President Bush among swing voters in the last month, with several citing the presidential debates as a factor in their shift, according to a poll released Wednesday.","AP - Democratic presidential candidate John Kerry has gained a majority among swing voters, according to a new poll released Monday."
14339,1,Treason trial resumes in Equatorial Guinea,MALABO : The trial of 19 people accused of seeking to overthrow President Teodoro Obiang Nguema of Equatorial Guinea was scheduled to resume after five days of hearings last week left the world little the wiser about the reality of their alleged putsch ,"The trial of a man accused of treason has resumed in Equatorial Guinea, the government said on Friday."
51610,4,The Incredible Shrinking Man,K. Eric Drexler was the godfather of nanotechnology. But the MIT prodigy who dreamed up molecular machines was shoved aside by big science -- and now he's an industry outcast. By Ed Regis from Wired magazine.,"The man who shattered the earth in the first place, the man who shattered the earth in the first place, is a man who has shattered the earth."
13387,2,Martin Is Determined to Remain Competitive,"Mark Martin, who with 533 consecutive starts trails only two active drivers, is proud to say he is not just sticking around to pick up lucrative checks with lackluster performances.","ATHENS, Greece (Reuters) - Martin Luther King Jr. is determined to remain competitive in the world's most competitive race, according to a new report released on Monday."
21508,2,Padres box score,a-struck out for Molina in the 6th. b-doubled for Suppan in the 6th. c-fouled out for Neal in the 6th. d-popped out for Tavarez in the 9th.,The San Diego Padres scored a pair of hits to lead the team to a 4-3 victory over the Atlanta Braves in the American League Championship Series.
83054,2,"Venus, Capriati end season with defeats",Venus Williams and Jennifer Capriati #39;s hopes of qualifying for next week #39;s lucrative season finale were crushed by quarter-final defeats at the Advanta Championships in Philadelphia on Friday.,"ATHENS (Reuters) - Venus Williams ended her season with a 6-3, 6-2 defeat to France's Maria Capriati in the first round of the European Tour's Open on Sunday."
35686,4,"PeopleSoft Defies Oracle Bid, Pursues IBM","&lt;p&gt;\&lt;/p&gt;&lt;p&gt; By Spencer Swartz&lt;/p&gt;&lt;p&gt; SAN FRANCISCO (Reuters) - PeopleSoft Inc. will push ahead\with a new marketing alliance with IBM and other initiatives\despite a recent court ruling that bolstered Oracle Corp.'s\\$7.7-billion hostile bid to acquire the company, PeopleSoft's\CEO said on Tuesday.&lt;/p&gt;","PeopleSoft Inc., the world #39;s largest software maker, defended its bid for Oracle Corp. on Tuesday, saying it would not take a bid from IBM Corp."
73102,4,Sony takes on iPod Mini,Sony has launched two flash memory digital music players that carry the Walkman brand in Europe. The Walkman NW-E99 and NW-E95 take aim at rival Apple #39;s iPod Minis.,"Sony Corp. is launching a new version of its iPod Mini, which will be available in the US next year. The iPod Mini will be available in the US and Europe."
107272,2,League Cup still last on Benitez #39;s trophy list,LONDON (AFP) - Liverpool may have battled back from the brink of defeat to book a League Cup semi-final berth but a penalty shoot-out win against Tottenham did nothing to alter manager Rafael Benitez #39;s view of a competition his club have won a record ,ATHENS (Reuters) - Jose Mourinho #39;s goal in the first half of the Champions League last-eighteen was enough to put Benitez on the top of the trophy list.
67781,2,"With Yankees Slain, 'Miracle' Sox Eye Bigger Demon (Reuters)","Reuters - ""Miracle Workers."" So proclaimed The\Boston Globe on Thursday after the Red Sox -- baseball's\perennial also-rans -- finally brought down the ""Evil Empire,""\taking a giant step toward their first World Series title in 86\years by ousting the New York Yankees in dramatic fashion.","Reuters - The Boston Red Sox are looking for a bigdemon, and the Yankees have a good chance of winning the World Series."
24958,1,Beijing Asked for Deal on Gando #39;,"China asked South Korea to promise it will not stake a claim on Gando, a disputed region north of the North Korean border, when it held talks with Seoul last month to patch up the history dispute ","BEIJING (Reuters) - Beijing asked the United States on Wednesday to agree to a deal with the United States on the controversial Gando #39;s nuclear program, a senior official said."
24452,3,Earning Reports Keep Investors on Edge (Reuters),"Reuters - Investors are expected to focus on oil\prices and corporate earnings outlooks next week, and the\slightest warning about company revenues could weigh on stocks.","Reuters - U.S. investors were on edge on Thursday as the company's quarterly earnings report showed stronggrowth in the U.S. economy, but analysts said it was a little more difficult to predict the future of the U.S. economy."
6354,2,US men hot-foot it in heats,"On target and on fire, the US men #39;s 100-meter sprinters scorched the Olympic Stadium #39;s fast track through two rounds yesterday to advance to today #39;s ",ATHENS (Reuters) - The US men's basketball team is hot-footed in the heats of the men's Olympic men's basketball championships.
9302,1,Hunt for clues to Russia crashes,"Russian investigators refuse to rule out sabotage after two airliners crash minutes apart, killing 89 people.",The search for clues to the crash of a Russian passenger plane in the early 1990s has begun. The search began with a search of the wreckage of a Russian passenger plane that crashed in the early 1990s.
31128,3,Indictments issued in software scam case,A federal grand jury has indicted 11 people for conspiring to distribute nearly \$31 million worth of bootlegged software programs.,A federal judge has indicted a software company for allegedly stealing millions of dollars in computer software from a computer maker.
81400,4,MSN Music expands reach to give iTunes a serious challenge,Eight more European countries got access to Microsofts MSN Music Store today. This comes in wake of Apples similar move to provide iTunes access to more European countries.,"MSN Music is expanding its reach to give iTunes a serious challenge. The company is launching a new version of its MSN Music service, which will allow users to download music from the Internet to their PCs."
96534,3,Several area taxpayers due refunds,"By the Telegram Staff. An annual IRS review shows 329 federal tax refunds totaling more than \$174,000 belonging to Nebraska taxpayers were returned to the IRS as undeliverable.","SAN FRANCISCO (Reuters) - A number of California taxpayers are due to receive a refund from the federal government for their tax refunds, the city's attorney general said on Tuesday."
25558,1,Iraqi resistance pushes the US back,"Iraqi resistance fighters are steadily rolling back the US-led occupation of their country, turning one city after another into a no-go zone for the occupation troops.","The United States has pushed back against Iraq #39;s resistance to the US-led invasion of Baghdad, saying it is quot;insufficiently prepared quot; to deal with the crisis."
34664,4,Thailand Says Nine Farms Contaminated By Genetically Modified &lt;b&gt;...&lt;/b&gt;,Nine farms in Thailand have been found to be contaminated by genetically modified crops. The announcement comes after a scandal shut down a big part of the country #39;s program to test genetically modified crops.,"THAILAND (Reuters) - Thailand said on Tuesday that nine of its farms were contaminated by genetically modified weeds, a move that could lead to the death of more than a million people."
40509,3,Residents could get power update Tuesday,"FPL officials don #39;t yet know whether they #39;re facing a repair or rebuild effort. Nearly 1.6 million households and businesses are without power from Hurricane Jeanne, but residents in Palm Beach County could ","LOS ANGELES (Reuters) - Residents of the Los Angeles area could get a power update Tuesday, a source familiar with the situation said on Wednesday."
21087,3,Fund firms to pay \$450 million in market-timing case,SAN FRANCISCO (CBS.MW) -- Invesco Funds Group and AIM Advisors agreed Tuesday to pay \$450 million in penalties and reduced fees to settle allegations that they allowed fraudulent trades in their mutual funds.,"SAN FRANCISCO (Reuters) - Fund companies are to pay $450 million to settle a lawsuit accusing them of using market-timing techniques to manipulate funds, the Securities and Exchange Commission said on Thursday."
76723,1,Blessings for Cambodia's King Norodom Sihamoni as coronation nears (AFP),"AFP - Cambodia's new monarch King Norodom Sihamoni received blessings from top Buddhist monks and his parents ahead of his formal coronation ceremony, as Phnom Penh slipped into celebratory mode.","AFP - Cambodia's king Norodom Sihamoni is expected to be buried in a royal palace in the capital of Phnom Penh as his coronation ceremony nears, a source close to the throne said."
12641,4,Calif. Revives Marine Sanctuary Proposal (AP),"AP - State wildlife officials announced plans Friday to revive a program to create marine reserves along California's 1,100-mile coast.",AP - The California Department of Fish and Wildlife on Monday revised a proposal to create a marine sanctuary in the state's southern coastal city of San Francisco.
32166,2,Pena Homers Give Reds 6-5 Edge Over Cubs (AP),AP - Wily Mo Pena hit two home runs to offset a pair by Moises Alou and lead the Cincinnati Reds over the Chicago Cubs 6-5 Saturday night.,AP - Jose Pena homered in the bottom of the ninth inning to give the Cincinnati Reds a 6-5 victory over the Chicago Cubs on Sunday.
10392,1,"Over half world's homes have running water, WHO report finds","JOHANNESBURG -- For the first time, more than half of the world's population has water piped into their homes, according to a United Nations report released today, an accomplishment hailed as a  quot;stunning success quot; by a senior World Health Organization official.","The World Health Organization (WHO) has found that more than half of the world's homes have running water, according to a new report."
95131,4,Microsoft Warns Asian Governments of Linux Lawsuits (Reuters),Reuters - Microsoft Corp. warned Asian\governments on Thursday they could face patent lawsuits for\using the Linux operating system instead of its Windows\software.,"Reuters - Microsoft Corp. warned Asian governments on Monday against filinglawsuits against its Linux operating system, saying it hadno intention of allowing the software maker to usethe software in its own country."
77356,4,Making the call as silly as the ring tone,PhoneBites' cellular service inserts sound clips into conversations. Ridiculous? The same was said of the multibillion ring tone market.,"The ring tone of the phone is as silly as the ring tone of the phone. It #39;s a ring tone that can be used to make a phone call, but it #39;s also a way to make a phone call to a friend."
103597,1,Soldier Kills 7 Colleagues in Kashmir,"SRINAGAR, 29 November 2004 - In the worst incident of its kind in 15 years, an angry Indian paramilitary soldier gunned down seven of his colleagues and injured two others critically in north Kashmirs Baramulla town, 54 km from here, around midnight.","A soldier killed seven of his colleagues in Kashmir on Sunday, a day after he was shot dead by a militant group in the city of Jammu and Kashmir, officials said."
2570,2,USA gets silver in kayak singles,"Athens, Greece (Sports Network) - American Rebecca Giddens captured the silver medal today in the Women #39;s K1 kayak singles competition at the Summer Olympics in Athens. ","ATHENS (Reuters) - The United States won the silver medal in the men's kayak singles on Sunday, beating the Czech Republic 2-1 in the final."
91877,3,CalPERS Votes to Toughen Merger Policies,"SACRAMENTO, Calif. - The nation #39;s biggest public pension fund, with a stock portfolio of \$167 billion, voted Monday to toughen its policies against multimillion-dollar  quot;golden parachutes quot; for executives who engineer corporate mergers.",The California Public Employees #39; Retirement System (CalPERS) has voted to tighten its merger policies with the state #39;s largest pension fund.
113095,2,"Franz wins downhill, Guay 13th","VAL D #39;ISERE, France (Ticker) -- Blood, sweat and tears finally paid off for Austrian veteran Werner Franz, who on Saturday collected the very first World Cup downhill win of his 14-year career.","ATHENS (Reuters) - Franz Franz won his first downhill race of the season on Sunday, finishing 13th in the world's top-seeded Guay."
24444,2,COLLINGWOOD GUIDES ENGLAND TO VICTORY,Paul Collingwood #39;s composure guided England to a comprehensive 142-run victory in their opening match of the ICC Champions Trophy - and ended Zimbabwe #39;s slim hopes of a shock triumph at Edgbaston.,"BRIDGETOWN, England (Reuters) - England were handed a victory on Sunday by defending champions England in the first round of the World Cup."
94267,1,Militant Wanted in Pearl Abduction Killed,"An Islamic militant wanted in the murder of American Journalist Daniel Pearl was discovered running a clothing shop near the Indian border and killed in a shootout with police, Pakistani authorities said Wednesday.",A militant group has killed a man wanted in connection with the kidnapping of British Prime Minister Pervez Musharraf.
3953,3,Parmalat to sue auditors,"PARMALAT, the bankrupt Italian food company, is suing outside auditors Grant Thornton and Deloitte  amp; Touche, seeking 5.5 billion in damages. ","Parmalat, the world #39;s largest food company, said it will sue auditors for failing to properly audit its financial statements."
42791,3,All I Want for Christmas Is a  #36;10 Million Zeppelin (Reuters),"Reuters - Baby Boomers, this Christmas season\unleash your inner child and empty your bankbook with\jewel-encrusted Mr. and Mrs. Potato Head toys at  #36;16,000 a\pair.",Reuters - The United States hassaid it will buy a #36;10 million zeppelin for the first time in more than a decade.
11364,1,Kidnappers Say They Have Killed Italian Hostage --TV,"The hostage takers who grabbed Italian journalist Enzo Baldoni on the road between Baghdad and Najaf in Iraq have killed him, the Italian government confirmed Thursday.","SAN FRANCISCO (Reuters) - Three Italian kidnappers have claimed to have killed an Italian hostage in Iraq, a television station reported on Sunday."
72440,1,South Korea fears infiltration by North,SEOUL - South Korea tightened security north of the capital Seoul Tuesday after finding signs that North Korean agents may have infiltrated the country.,South Korea fears infiltration by North Korea will be a major factor in the country #39;s economic recovery.
37734,1,Malaysia #39;s Anwar called  #39;traitor #39;,Members of Malaysia #39;s largest political party have labelled former Deputy Prime Minister Anwar Ibrahim a  quot;traitor quot;. The head of the youth wing of the United Malays National Organisation ( Umno) ruled out the ,Malaysia #39;s prime minister Anwar Ibrahim has been called a quot;traitor quot; by his country #39;s opposition party.
59785,3,EU opens Intel inquiry over government deals,"BRUSSELS The European Commission opened legal cases against France, the Netherlands, Sweden and Finland on Wednesday, saying that it believed the four governments had been favoring Intel, the US computer chip maker, when awarding public contracts.","The European Commission has opened an inquiry into whether Intel Corp. and the United States have agreed to a deal that would allow the company to sell computer chips to the government, the European Commission said on Thursday."
15288,1,Carolinas Watch for Hurricane Frances,"RICHMOND, Va. - Residents and officials in the Carolinas on Monday were cleaning up from Tropical Storm Gaston - and keeping their eyes on Hurricane Frances...","Hurricane Frances is expected to hit the Carolinas in the next few days, causing damage to homes and businesses."
57180,4,IT Heavyweights Drive New Web-Services Spec,"AMD, Dell, Intel, Microsoft and Sun Microsystems have joined forces on Web Services Management, a new specification that promises to simplify systems management.","SAN FRANCISCO (CBS.MW) -- The Internet Service Provider Association (ISP) has announced a new specification for Web-services, which will allow companies to create and manage their own Web-services, according to a report released on Wednesday."
107129,3,Albertsons 3Q profit up 21,"Grocer says sales rose 15, helped by acquisitions, puts full-year earnings at low end of forecast. NEW YORK (Reuters) - Albertsons Inc.","NEW YORK (Reuters) - Albertsons Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AL.N target=/stocks/quickinfo/fullquote""&gt;AL.N&lt;/A&gt; on Thursday posted a 21 percent rise in third-quarter profit, boosted by strong demand for its products, as the company's sales of its products and services."
101720,4,Google muscles in on Microsoft turf,"Not too long ago, Google Inc seemed little more than a nuisance to Microsoft Corp #39;s software domination. No more. As Google rapidly rolls out new products, the company best known for its wildly popular search ",Google has a long-standing relationship with Microsoft. The company is a major player in the software giant #39;s efforts to build a competitive advantage over rivals.
95088,4,Transport ship fails to raise ISS to designated orbit.,"MOSCOW, November 17 (Itar-Tass) -- The Russian transport ship Progress failed to raise the International Space Station to the designated orbit on Wednesday.","The International Space Station #39;s transport ship failed to raise the ISS to a designated orbit on Wednesday, a NASA official said."
